104/01/05	37.54
104/01/06	36.56
104/01/07	36.74
104/01/08	37.44
104/01/09	37.44
104/01/12	37.27
104/01/13	37.27
104/01/14	37.09
104/01/15	--
104/01/16	37.13
104/01/19	37.41
104/01/20	37.60
104/01/21	37.89
104/01/22	38.13
104/01/23	38.69
104/01/26	--
104/01/27	38.90
104/01/28	38.99
104/01/29	38.80
104/01/30	38.61
104/02/02	38.42
104/02/03	38.62
104/02/04	39.03
104/02/05	39.12
104/02/06	38.80
104/02/09	--
104/02/10	38.61
104/02/11	38.99
104/02/12	39.00
104/02/13	39.26
104/02/24	39.85
104/02/25	40.00
104/02/26	39.81
104/03/02	39.56
104/03/03	39.37
104/03/04	39.37
104/03/05	39.54
104/03/06	39.49
104/03/09	39.17
104/03/10	38.96
104/03/11	39.11
104/03/12	39.30
104/03/13	--
104/03/16	38.99
104/03/17	39.21
104/03/18	39.41
104/03/19	40.00
104/03/20	--
104/03/23	40.14
104/03/24	39.95
104/03/25	--
104/03/26	39.26
104/03/27	38.95
104/03/30	--
104/03/31	--
104/04/01	38.80
104/04/02	39.32
104/04/07	--
104/04/08	--
104/04/09	39.10
104/04/10	39.29
104/04/13	39.31
104/04/14	--
104/04/15	38.86
104/04/16	39.33
104/04/17	39.23
104/04/20	39.00
104/04/21	39.01
104/04/22	39.41
104/04/23	40.32
104/04/24	41.00
104/04/27	41.31
104/04/28	41.31
104/04/29	40.71
104/04/30	40.46
104/05/04	--
104/05/05	40.12
104/05/06	--
104/05/07	39.80
104/05/08	39.66
104/05/11	39.72
104/05/12	39.63
104/05/13	39.88
104/05/14	39.69
104/05/15	39.50
104/05/18	--
104/05/19	40.10
104/05/20	--
104/05/21	39.52
104/05/22	40.03
104/05/25	39.82
104/05/26	39.91
104/05/27	40.10
104/05/28	40.43
104/05/29	40.16
104/06/01	39.77
104/06/02	--
104/06/03	39.65
104/06/04	38.89
104/06/05	38.76
104/06/08	38.95
104/06/09	38.56
104/06/10	38.87
104/06/11	38.95
104/06/12	--
104/06/15	--
104/06/16	38.41
104/06/17	38.60
104/06/18	--
104/06/22	--
104/06/23	39.42
104/06/24	39.12
104/06/25	39.46
104/06/26	39.60
104/06/29	38.77
104/06/30	38.83
104/07/01	39.51
104/07/02	39.51
104/07/03	39.55
104/07/06	39.35
104/07/07	39.35
104/07/08	38.30
104/07/09	37.86
104/07/13	38.52
104/07/14	38.67
104/07/15	--
104/07/16	38.78
104/07/17	38.96
104/07/20	38.61
104/07/21	38.60
104/07/22	38.59
104/07/23	37.85
104/07/24	37.67
104/07/27	36.94
104/07/28	37.02
104/07/29	37.01
104/07/30	37.50
104/07/31	--
104/08/03	36.92
104/08/04	36.85
104/08/05	37.08
104/08/06	36.71
104/08/07	--
104/08/10	36.41
104/08/11	36.50
104/08/12	35.75
104/08/13	36.05
104/08/14	35.92
104/08/17	35.57
104/08/18	35.42
104/08/19	34.88
104/08/20	34.74
104/08/21	33.91
104/08/24	32.74
104/08/25	33.45
104/08/26	33.89
104/08/27	34.10
104/08/28	35.15
104/08/31	34.93
104/09/01	35.00
104/09/02	35.15
104/09/03	35.20
104/09/04	34.85
104/09/07	34.78
104/09/08	34.78
104/09/09	36.08
104/09/10	35.94
104/09/11	36.10
104/09/14	36.08
104/09/15	35.80
104/09/16	36.20
104/09/17	36.60
104/09/18	--
104/09/21	35.98
104/09/22	36.12
104/09/23	35.42
104/09/24	35.13
104/09/25	35.10
104/09/30	35.20
104/10/01	35.79
104/10/02	35.96
104/10/05	36.00
104/10/06	36.43
104/10/07	36.55
104/10/08	36.69
104/10/12	37.30
104/10/13	37.00
104/10/14	36.97
104/10/15	37.33
104/10/16	37.35
104/10/19	37.30
104/10/20	37.08
104/10/21	37.01
104/10/22	37.10
104/10/23	37.46
104/10/26	37.68
104/10/27	37.36
104/10/28	37.34
104/10/29	36.23
104/10/30	36.13
104/11/02	36.03
104/11/03	36.39
104/11/04	37.05
104/11/05	37.20
104/11/06	36.68
104/11/09	36.50
104/11/10	36.20
104/11/11	35.55
