105/03/03	17.80
105/03/04	18.05
105/03/07	18.25
105/03/08	18.10
105/03/09	18.15
105/03/10	18.10
105/03/11	18.20
105/03/14	18.30
105/03/15	18.15
105/03/16	18.30
105/03/17	18.50
105/03/18	18.30
105/03/21	18.15
105/03/22	18.10
105/03/23	18.10
105/03/24	18.20
105/03/25	18.05
105/03/28	18.10
105/03/29	18.00
105/03/30	18.10
105/03/31	18.00
105/04/01	18.05
105/04/06	17.70
105/04/07	17.55
105/04/08	17.65
105/04/11	17.65
105/04/12	17.50
105/04/13	17.90
105/04/14	17.95
105/04/15	18.05
105/04/18	18.10
105/04/19	18.00
105/04/20	17.70
105/04/21	17.75
105/04/22	17.60
105/04/25	17.90
105/04/26	18.00
105/04/27	18.10
105/04/28	17.80
105/04/29	17.90
105/05/03	17.70
105/05/04	17.65
105/05/05	17.30
105/05/06	16.85
105/05/09	16.90
105/05/10	17.05
105/05/11	16.75
105/05/12	16.80
105/05/13	16.80
105/05/16	17.00
105/05/17	17.50
105/05/18	17.45
105/05/19	17.25
105/05/20	17.30
105/05/23	17.60
105/05/24	17.30
105/05/25	17.80
105/05/26	17.65
105/05/27	17.75
105/05/30	18.10
105/05/31	18.25
105/06/01	18.15
105/06/02	18.20
105/06/03	18.45
105/06/04	18.30
105/06/06	18.25
105/06/07	18.35
105/06/08	18.75
105/06/13	18.50
105/06/14	18.80
105/06/15	18.80
105/06/16	18.55
105/06/17	18.90
105/06/20	19.10
105/06/21	19.05
105/06/22	19.10
105/06/23	19.00
105/06/24	19.00
105/06/27	18.65
105/06/28	18.55
105/06/29	18.75
105/06/30	19.00
105/07/01	19.00
105/07/04	19.15
105/07/05	19.10
105/07/06	18.60
105/07/07	18.40
105/07/11	18.80
105/07/12	18.95
105/07/13	19.10
105/07/14	19.05
105/07/15	19.20
105/07/18	19.45
105/07/19	19.50
105/07/20	19.40
105/07/21	19.40
105/07/22	19.20
105/07/25	19.40
105/07/26	19.60
105/07/27	19.90
105/07/28	18.15
105/07/29	17.80
105/08/01	18.00
105/08/02	17.95
105/08/03	17.65
105/08/04	17.75
105/08/05	18.00
105/08/08	18.10
105/08/09	18.15
105/08/10	18.10
105/08/11	18.20
105/08/12	18.15
105/08/15	18.05
105/08/16	18.15
105/08/17	18.05
105/08/18	18.20
105/08/19	18.00
105/08/22	18.10
105/08/23	18.15
105/08/24	18.10
105/08/25	18.15
105/08/26	18.25
105/08/29	18.20
105/08/30	18.15
105/08/31	17.85
105/09/01	18.05
105/09/02	17.95
105/09/05	18.10
105/09/06	18.20
105/09/07	18.30
105/09/08	18.25
105/09/09	18.20
105/09/10	18.00
105/09/12	17.90
105/09/13	17.70
105/09/14	17.60
105/09/19	17.95
105/09/20	17.85
105/09/21	17.85
105/09/22	17.80
105/09/23	18.05
105/09/26	17.85
105/09/29	18.05
105/09/30	17.85
105/10/03	18.10
105/10/04	18.10
105/10/05	18.10
105/10/06	18.15
105/10/07	18.15
105/10/11	18.00
105/10/12	18.00
105/10/13	17.85
105/10/14	17.85
105/10/17	17.75
105/10/18	18.00
105/10/19	18.05
105/10/20	18.00
105/10/21	18.00
105/10/24	17.95
105/10/25	17.95
105/10/26	17.85
105/10/27	17.75
105/10/28	17.85
105/10/31	17.95
105/11/01	17.90
105/11/02	17.80
105/11/03	17.75
105/11/04	17.65
105/11/07	17.75
105/11/08	17.90
105/11/09	17.55
105/11/10	17.75
105/11/11	17.65
105/11/14	17.80
105/11/15	18.05
105/11/16	18.25
105/11/17	18.25
105/11/18	18.20
105/11/21	18.25
105/11/22	18.30
105/11/23	18.30
105/11/24	18.25
105/11/25	18.25
105/11/28	18.50
105/11/29	18.30
105/11/30	18.50
105/12/01	18.40
105/12/02	18.30
105/12/05	18.10
105/12/06	18.15
105/12/07	18.20
105/12/08	18.60
105/12/09	18.70
105/12/12	18.60
105/12/13	18.70
105/12/14	18.45
105/12/15	18.55
105/12/16	18.45
105/12/19	18.25
105/12/20	18.30
105/12/21	18.25
105/12/22	18.15
105/12/23	18.05
105/12/26	18.20
105/12/27	18.10
105/12/28	18.25
105/12/29	18.15
105/12/30	18.35
106/01/03	18.40
106/01/04	18.40
106/01/05	18.45
106/01/06	18.50
106/01/09	18.30
106/01/10	18.25
106/01/11	18.40
106/01/12	18.55
106/01/13	18.50
106/01/16	18.30
106/01/17	18.50
106/01/18	18.50
106/01/19	18.30
106/01/20	18.45
106/01/23	18.50
106/01/24	18.45
106/02/02	18.25
106/02/03	18.25
106/02/06	18.40
106/02/07	18.40
