104/01/05	24.15
104/01/06	23.89
104/01/07	23.91
104/01/08	24.12
104/01/09	24.16
104/01/12	24.15
104/01/13	24.30
104/01/14	24.32
104/01/15	24.26
104/01/16	24.09
104/01/19	24.15
104/01/20	24.23
104/01/21	24.30
104/01/22	24.63
104/01/23	24.77
104/01/26	24.77
104/01/27	24.83
104/01/28	24.91
104/01/29	24.72
104/01/30	24.65
104/02/02	24.57
104/02/03	24.70
104/02/04	24.83
104/02/05	24.81
104/02/06	24.74
104/02/09	24.72
104/02/10	24.63
104/02/11	24.70
104/02/12	24.65
104/02/13	24.80
104/02/24	25.06
104/02/25	25.16
104/02/26	25.14
104/03/02	25.21
104/03/03	25.19
104/03/04	25.19
104/03/05	25.18
104/03/06	25.25
104/03/09	25.20
104/03/10	25.07
104/03/11	24.94
104/03/12	25.07
104/03/13	25.06
104/03/16	25.00
104/03/17	25.00
104/03/18	25.04
104/03/19	25.22
104/03/20	25.20
104/03/23	25.15
104/03/24	25.11
104/03/25	25.01
104/03/26	24.90
104/03/27	24.84
104/03/30	24.87
104/03/31	24.85
104/04/01	24.78
104/04/02	24.85
104/04/07	24.89
104/04/08	24.90
104/04/09	24.86
104/04/10	24.86
104/04/13	24.86
104/04/14	24.88
104/04/15	24.85
104/04/16	24.83
104/04/17	24.71
104/04/20	24.45
104/04/21	24.40
104/04/22	24.60
104/04/23	25.03
104/04/24	25.10
104/04/27	25.30
104/04/28	25.20
104/04/29	25.08
104/04/30	25.04
104/05/04	25.05
104/05/05	25.01
104/05/06	25.08
104/05/07	24.90
104/05/08	24.89
104/05/11	24.71
104/05/12	24.69
104/05/13	24.80
104/05/14	24.64
104/05/15	24.55
104/05/18	24.64
104/05/19	24.80
104/05/20	24.80
104/05/21	24.51
104/05/22	24.54
104/05/25	24.51
104/05/26	24.64
104/05/27	24.69
104/05/28	24.77
104/05/29	24.72
104/06/01	24.68
104/06/02	24.65
104/06/03	24.50
104/06/04	24.06
104/06/05	24.00
104/06/08	24.08
104/06/09	23.51
104/06/10	23.56
104/06/11	23.45
104/06/12	23.35
104/06/15	23.45
104/06/16	23.29
104/06/17	23.36
104/06/18	23.51
104/06/22	23.81
104/06/23	23.89
104/06/24	23.89
104/06/25	23.95
104/06/26	23.95
104/06/29	23.76
104/06/30	23.70
104/07/01	23.84
104/07/02	23.85
104/07/03	23.82
104/07/06	23.69
104/07/07	23.71
104/07/08	23.22
104/07/09	22.84
104/07/13	23.03
104/07/14	23.12
104/07/15	23.00
104/07/16	23.05
104/07/17	23.05
104/07/20	22.96
104/07/21	22.88
104/07/22	22.57
104/07/23	22.50
104/07/24	22.30
104/07/27	21.85
104/07/28	21.77
104/07/29	21.98
104/07/30	21.96
104/07/31	21.95
104/08/03	21.79
104/08/04	21.63
104/08/05	21.72
104/08/06	21.34
104/08/07	21.25
104/08/10	21.48
104/08/11	21.37
104/08/12	21.25
104/08/13	21.43
104/08/14	21.25
104/08/17	21.12
104/08/18	20.93
104/08/19	20.31
104/08/20	20.47
104/08/21	20.02
104/08/24	19.95
104/08/25	19.50
104/08/26	19.68
104/08/27	20.15
104/08/28	20.60
104/08/31	20.78
104/09/01	20.75
104/09/02	20.70
104/09/03	20.81
104/09/04	20.73
104/09/07	20.77
104/09/08	20.85
104/09/09	21.30
104/09/10	21.45
104/09/11	21.65
104/09/14	21.69
104/09/15	21.67
104/09/16	21.70
104/09/17	22.00
104/09/18	22.13
104/09/21	21.74
104/09/22	21.82
104/09/23	21.41
104/09/24	21.12
104/09/25	21.12
104/09/30	21.04
104/10/01	21.33
104/10/02	21.36
104/10/05	21.58
104/10/06	21.88
104/10/07	21.89
104/10/08	21.82
