104/01/05	66.55
104/01/06	64.90
104/01/07	65.00
104/01/08	66.50
104/01/09	66.15
104/01/12	65.75
104/01/13	65.95
104/01/14	65.60
104/01/15	65.80
104/01/16	65.50
104/01/19	66.25
104/01/20	66.75
104/01/21	67.25
104/01/22	67.60
104/01/23	68.70
104/01/26	68.70
104/01/27	69.15
104/01/28	69.15
104/01/29	68.30
104/01/30	68.00
104/02/02	68.15
104/02/03	68.65
104/02/04	69.40
104/02/05	69.10
104/02/06	68.75
104/02/09	68.50
104/02/10	68.25
104/02/11	69.00
104/02/12	69.00
104/02/13	69.45
104/02/24	70.25
104/02/25	70.80
104/02/26	70.30
104/03/02	70.00
104/03/03	69.90
104/03/04	69.95
104/03/05	69.70
104/03/06	69.80
104/03/09	69.10
104/03/10	68.95
104/03/11	69.05
104/03/12	69.65
104/03/13	69.45
104/03/16	68.90
104/03/17	69.15
104/03/18	69.90
104/03/19	70.65
104/03/20	70.55
104/03/23	70.75
104/03/24	70.50
104/03/25	70.25
104/03/26	69.40
104/03/27	68.75
104/03/30	68.80
104/03/31	69.05
104/04/01	68.65
104/04/02	69.50
104/04/07	69.60
104/04/08	69.00
104/04/09	69.10
104/04/10	69.65
104/04/13	69.85
104/04/14	69.50
104/04/15	68.65
104/04/16	69.70
104/04/17	69.05
104/04/20	68.95
104/04/21	68.95
104/04/22	69.65
104/04/23	71.50
104/04/24	72.20
104/04/27	72.75
104/04/28	72.60
104/04/29	71.80
104/04/30	71.45
104/05/04	71.60
104/05/05	71.20
104/05/06	71.30
104/05/07	70.45
104/05/08	70.50
104/05/11	70.85
104/05/12	70.70
104/05/13	71.10
104/05/14	70.10
104/05/15	70.00
104/05/18	70.25
104/05/19	71.30
104/05/20	70.80
104/05/21	70.15
104/05/22	70.70
104/05/25	70.70
104/05/26	71.00
104/05/27	71.15
104/05/28	71.50
104/05/29	71.10
104/06/01	70.50
104/06/02	70.40
104/06/03	69.95
104/06/04	68.60
104/06/05	68.45
104/06/08	68.90
104/06/09	68.35
104/06/10	68.65
104/06/11	68.85
104/06/12	68.80
104/06/15	68.65
104/06/16	68.20
104/06/17	68.50
104/06/18	68.40
104/06/22	69.35
104/06/23	69.55
104/06/24	69.65
104/06/25	70.45
104/06/26	70.45
104/06/29	68.80
104/06/30	69.40
104/07/01	70.05
104/07/02	70.10
104/07/03	70.10
104/07/06	69.30
104/07/07	69.60
104/07/08	67.50
104/07/09	67.10
104/07/13	68.10
104/07/14	68.10
104/07/15	68.25
104/07/16	68.60
104/07/17	68.50
104/07/20	68.00
104/07/21	68.65
104/07/22	67.80
104/07/23	67.15
104/07/24	66.75
104/07/27	65.80
104/07/28	65.85
104/07/29	65.40
104/07/30	66.50
104/07/31	66.15
104/08/03	65.25
104/08/04	65.30
104/08/05	65.70
104/08/06	65.00
104/08/07	64.70
104/08/10	64.55
104/08/11	64.55
104/08/12	63.45
104/08/13	63.55
104/08/14	63.30
104/08/17	62.90
104/08/18	62.55
104/08/19	61.60
104/08/20	61.40
104/08/21	59.80
104/08/24	57.50
104/08/25	60.00
104/08/26	60.35
104/08/27	60.15
104/08/28	61.80
104/08/31	62.30
104/09/01	61.75
104/09/02	62.10
104/09/03	62.15
104/09/04	61.35
104/09/07	61.25
104/09/08	61.45
104/09/09	64.15
104/09/10	63.45
104/09/11	63.50
104/09/14	63.65
104/09/15	63.15
104/09/16	63.90
104/09/17	65.00
104/09/18	64.85
104/09/21	63.45
104/09/22	63.80
104/09/23	62.35
104/09/24	62.00
104/09/25	62.25
104/09/30	62.40
104/10/01	63.60
104/10/02	63.25
104/10/05	63.40
104/10/06	63.90
104/10/07	64.85
104/10/08	64.70
104/10/12	65.55
104/10/13	65.30
104/10/14	65.05
104/10/15	66.00
104/10/16	65.75
104/10/19	65.95
104/10/20	65.95
104/10/21	65.50
104/10/22	65.50
104/10/23	65.90
104/10/26	64.55
104/10/27	64.20
104/10/28	63.75
104/10/29	63.30
104/10/30	63.20
104/11/02	63.30
104/11/03	64.30
104/11/04	65.55
104/11/05	65.40
104/11/06	64.10
104/11/09	63.65
104/11/10	62.90
104/11/11	62.15
104/11/12	62.25
104/11/13	61.60
104/11/16	61.15
104/11/17	62.35
104/11/18	61.40
104/11/19	62.30
104/11/20	62.30
104/11/23	62.60
104/11/24	61.95
104/11/25	61.95
104/11/26	62.80
104/11/27	61.95
104/11/30	61.20
104/12/01	62.40
104/12/02	62.30
104/12/03	62.40
104/12/04	61.75
104/12/07	62.50
104/12/08	61.50
104/12/09	60.75
104/12/10	60.55
104/12/11	59.85
104/12/14	59.40
104/12/15	59.45
104/12/16	60.35
104/12/17	61.05
104/12/18	60.75
104/12/21	60.65
104/12/22	60.80
104/12/23	60.90
104/12/24	61.20
104/12/25	61.60
104/12/28	61.45
104/12/29	61.00
104/12/30	60.55
104/12/31	60.75
105/01/04	59.55
105/01/05	59.05
105/01/06	58.45
105/01/07	57.35
105/01/08	57.45
105/01/11	56.55
105/01/12	56.50
105/01/13	57.15
105/01/14	56.70
105/01/15	56.70
105/01/18	57.10
105/01/19	57.25
105/01/20	55.90
105/01/21	55.80
105/01/22	56.55
105/01/25	57.55
105/01/26	57.00
105/01/27	57.25
105/01/28	57.55
105/01/29	59.00
105/01/30	59.55
105/02/01	59.55
105/02/02	59.35
105/02/03	58.95
105/02/15	59.00
105/02/16	60.25
105/02/17	59.95
105/02/18	60.90
105/02/19	60.85
105/02/22	60.80
105/02/23	60.85
105/02/24	60.30
105/02/25	61.10
105/02/26	61.25
105/03/01	61.85
105/03/02	62.35
105/03/03	62.95
105/03/04	63.10
105/03/07	63.10
105/03/08	63.05
105/03/09	63.10
105/03/10	63.25
105/03/11	63.55
105/03/14	64.00
105/03/15	63.05
105/03/16	63.60
105/03/17	64.30
105/03/18	64.70
105/03/21	64.60
105/03/22	64.40
105/03/23	64.35
105/03/24	64.35
105/03/25	64.05
105/03/28	64.10
105/03/29	63.65
105/03/30	64.70
105/03/31	64.65
105/04/01	63.90
105/04/06	62.40
105/04/07	62.15
105/04/08	62.75
105/04/11	63.00
105/04/12	62.95
105/04/13	64.05
